K,lawfulness,net,benefit,cost
0.0,0.0,-0.08645000000000001,0.0,0.08645000000000001
0.0,0.01,-0.08569998125,2.0718750000000002e-05,0.0857207
0.0,0.02,-0.08494996249999999,4.1437500000000004e-05,0.0849914
0.0,0.03,-0.08419994374999999,6.215625e-05,0.08426209999999999
0.0,0.04,-0.08344992500000001,8.287500000000001e-05,0.0835328
0.0,0.05,-0.08269990625,0.00010359375000000001,0.0828035
0.0,0.06,-0.0819498875,0.0001243125,0.0820742
0.0,0.07,-0.08119986875,0.00014503125,0.0813449
0.0,0.08,-0.08044985,0.00016575000000000002,0.08061560000000001
0.0,0.09,-0.07969983125,0.00018646874999999998,0.07988630000000001
0.0,0.1,-0.07894981250000001,0.00020718750000000001,0.079157
0.0,0.11,-0.07819979375,0.00022790625,0.0784277
0.0,0.12,-0.077449775,0.000248625,0.0776984
0.0,0.13,-0.07669975625000001,0.00026934375,0.07696910000000001
0.0,0.14,-0.0759497375,0.0002900625,0.0762398
0.0,0.15,-0.07519971875,0.00031078124999999997,0.07551050000000001
0.0,0.16,-0.0744497,0.00033150000000000003,0.07478119999999999
0.0,0.17,-0.07369968125000001,0.00035221875000000005,0.0740519
0.0,0.18,-0.07294966250000001,0.00037293749999999995,0.07332260000000002
0.0,0.19,-0.07219964375,0.00039365624999999996,0.0725933
0.0,0.2,-0.071449625,0.00041437500000000003,0.071864
0.0,0.21,-0.07069960625,0.00043509375,0.07113470000000001
0.0,0.22,-0.06994958750000001,0.0004558125,0.0704054
0.0,0.23,-0.06919956875000001,0.00047653124999999996,0.0696761
0.0,0.24,-0.06844955,0.00049725,0.0689468
0.0,0.25,-0.06769953125,0.00051796875,0.0682175
0.0,0.26,-0.0669495125,0.0005386875,0.0674882
0.0,0.27,-0.06619949374999999,0.00055940625,0.0667589
0.0,0.28,-0.065449475,0.000580125,0.0660296
0.0,0.29,-0.06469945625000001,0.0006008437499999999,0.0653003
0.0,0.3,-0.0639494375,0.0006215624999999999,0.064571
0.0,0.31,-0.06319941875,0.00064228125,0.0638417
0.0,0.32,-0.0624494,0.0006630000000000001,0.0631124
0.0,0.33,-0.06169938125,0.0006837187500000001,0.0623831
0.0,0.34,-0.06094936249999999,0.0007044375000000001,0.061653799999999995
0.0,0.35000000000000003,-0.06019934375,0.00072515625,0.0609245
0.0,0.36,-0.059449325000000004,0.0007458749999999999,0.060195200000000004
0.0,0.37,-0.058699306250000007,0.0007665937499999999,0.05946590000000001
0.0,0.38,-0.0579492875,0.0007873124999999999,0.0587366
0.0,0.39,-0.05719926874999999,0.00080803125,0.05800729999999999
0.0,0.4,-0.05644925,0.0008287500000000001,0.057278
0.0,0.41000000000000003,-0.055699231249999995,0.0008494687500000001,0.05654869999999999
0.0,0.42,-0.05494921250000001,0.0008701875,0.05581940000000001
0.0,0.43,-0.054199193750000006,0.00089090625,0.0550901
0.0,0.44,-0.053449175,0.000911625,0.0543608
0.0,0.45,-0.052699156250000004,0.0009323437499999999,0.053631500000000006
0.0,0.46,-0.05194913750000001,0.0009530624999999999,0.05290220000000001
0.0,0.47000000000000003,-0.05119911875,0.00097378125,0.0521729
0.0,0.48,-0.0504491,0.0009945,0.0514436
0.0,0.49,-0.049699081250000006,0.0010152187499999998,0.050714300000000004
0.0,0.5,-0.0489490625,0.0010359375,0.049985
0.0,0.51,-0.04819904375,0.00105665625,0.0492557
0.0,0.52,-0.047449025000000006,0.001077375,0.048526400000000004
0.0,0.53,-0.04669900625,0.0010980937500000001,0.0477971
0.0,0.54,-0.045948987499999996,0.0011188125,0.0470678
0.0,0.55,-0.04519896875,0.00113953125,0.0463385
0.0,0.56,-0.044448949999999994,0.00116025,0.045609199999999996
0.0,0.5700000000000001,-0.04369893125,0.0011809687500000002,0.0448799
0.0,0.58,-0.0429489125,0.0012016874999999998,0.0441506
0.0,0.59,-0.04219889375,0.00122240625,0.0434213
0.0,0.6,-0.041448875,0.0012431249999999999,0.042692
0.0,0.61,-0.040698856250000005,0.0012638437499999998,0.041962700000000006
0.0,0.62,-0.039948837499999994,0.0012845625,0.041233399999999996
0.0,0.63,-0.03919881875,0.0013052812499999998,0.0405041
0.0,0.64,-0.0384488,0.0013260000000000001,0.0397748
0.0,0.65,-0.037698781249999994,0.00134671875,0.0390455
0.0,0.66,-0.0369487625,0.0013674375000000002,0.0383162
0.0,0.67,-0.03619874375,0.00138815625,0.0375869
0.0,0.68,-0.035448725,0.0014088750000000002,0.0368576
0.0,0.6900000000000001,-0.034698706249999996,0.00142959375,0.036128299999999995
0.0,0.7000000000000001,-0.03394868749999999,0.0014503125,0.03539899999999999
0.0,0.71,-0.03319866875000001,0.00147103125,0.034669700000000005
0.0,0.72,-0.03244865,0.0014917499999999998,0.0339404
0.0,0.73,-0.031698631250000005,0.00151246875,0.03321110000000001
0.0,0.74,-0.0309486125,0.0015331874999999998,0.0324818
0.0,0.75,-0.030198593750000002,0.00155390625,0.0317525
0.0,0.76,-0.029448575,0.0015746249999999999,0.0310232
0.0,0.77,-0.02869855625,0.0015953437500000002,0.0302939
0.0,0.78,-0.027948537499999995,0.0016160625,0.029564599999999996
0.0,0.79,-0.02719851875,0.0016367812500000002,0.0288353
0.0,0.8,-0.0264485,0.0016575000000000001,0.028106
0.0,0.81,-0.025698481249999995,0.00167821875,0.027376699999999997
0.0,0.8200000000000001,-0.024948462499999997,0.0016989375000000001,0.026647399999999998
0.0,0.8300000000000001,-0.024198443749999993,0.00171965625,0.025918099999999993
0.0,0.84,-0.023448425000000005,0.001740375,0.025188800000000004
0.0,0.85,-0.02269840625,0.0017610937499999999,0.024459500000000002
0.0,0.86,-0.021948387500000003,0.0017818125,0.023730200000000003
0.0,0.87,-0.021198368750000002,0.0018025312499999999,0.0230009
0.0,0.88,-0.020448350000000004,0.00182325,0.022271600000000003
0.0,0.89,-0.01969833125,0.00184396875,0.0215423
0.0,0.9,-0.018948312499999998,0.0018646874999999998,0.020812999999999998
0.0,0.91,-0.01819829375,0.00188540625,0.0200837
0.0,0.92,-0.017448275,0.0019061249999999998,0.0193544
0.0,0.93,-0.016698256249999998,0.0019268437500000002,0.0186251
0.0,0.9400000000000001,-0.015948237499999997,0.0019475625,0.017895799999999996
0.0,0.9500000000000001,-0.015198218749999994,0.00196828125,0.017166499999999994
0.0,0.96,-0.014448200000000007,0.001989,0.016437200000000006
0.0,0.97,-0.013698181250000004,0.00200971875,0.015707900000000004
0.0,0.98,-0.012948162500000002,0.0020304374999999997,0.014978600000000002
0.0,0.99,-0.012198143750000001,0.00205115625,0.014249300000000001
0.0,1.0,-0.011448125,0.002071875,0.01352
0.01,0.0,-0.08557185,0.0,0.08557185
0.01,0.01,-0.08482684691,2.3932090000000003e-05,0.084850779
0.01,0.02,-0.08408184382,4.786418000000001e-05,0.084129708
0.01,0.03,-0.08333684073000001,7.179627e-05,0.08340863700000001
