scenario,mean_net,final_K,final_O,final_q,final_C,final_H,final_digital_record
Kingdom-aligned transparent recording,0.018043113675608877,0.7375579438572217,0.9216,0.04,1.0,0.0,33.828281763928096
Mixed civic audit regime,-0.019681570577846946,0.267234757468776,0.0,0.31454724071982415,0.0,1.4323311185130834,40.65791595456528
World/coercive panoptic regime,-0.08590693929389825,0.0,0.0,0.9350333274565117,0.0,4.93777992819159,45.39227595556874
