scenario,step,status,mean_agency,mean_presence,mean_damage_q,mean_coherence,mean_selfhood_S,record_integrity,declared_spirit_channel,path_overlap
death_frozen_record,0,alive,0.92,0.06718402678581947,0.3044032344055376,0.3227427135596574,0.1423638778028321,0.5288871372235084,0.0,1.0
death_frozen_record,1,alive,0.92,0.06716681676843246,0.3044032344055376,0.32262095226589516,0.13812183398481087,0.5216327269472391,0.0,1.0
death_frozen_record,2,alive,0.92,0.06714960675104546,0.3044032344055376,0.32249919097213287,0.1340235843233079,0.5146666339376404,0.0,1.0
death_frozen_record,3,alive,0.92,0.06713239673365845,0.3044032344055376,0.3223774296783707,0.13006422892740593,0.5079773255040457,0.0,1.0
death_frozen_record,4,alive,0.92,0.06711518671627144,0.3044032344055376,0.3222556683846085,0.12623903566719044,0.5015537302634149,0.0,1.0
death_frozen_record,5,alive,0.92,0.06709797669888443,0.3044032344055376,0.3221339070908463,0.12254343440159698,0.4953852196880291,0.0,1.0
death_frozen_record,6,alive,0.92,0.0670807666814974,0.3044032344055376,0.32201214579708404,0.1189730114058752,0.4894615903912788,0.0,1.0
death_frozen_record,7,alive,0.92,0.06706355666411039,0.3044032344055376,0.3218903845033218,0.11552350399172957,0.4837730471220185,0.0,1.0
death_frozen_record,8,alive,0.92,0.06704634664672339,0.3044032344055376,0.3217686232095597,0.1121907953134404,0.47831018643914847,0.0,1.0
death_frozen_record,9,alive,0.92,0.06702913662933638,0.3044032344055376,0.3216468619157974,0.10897090935350219,0.47306398103921343,0.0,1.0
death_frozen_record,10,alive,0.92,0.06701192661194935,0.3044032344055376,0.3215251006220352,0.1058600060815423,0.4680257647108956,0.0,1.0
death_frozen_record,11,alive,0.92,0.06699471659456235,0.3044032344055376,0.3214033393282729,0.10285437678050027,0.4631872178913304,0.0,1.0
death_frozen_record,12,alive,0.92,0.06697750657717533,0.3044032344055376,0.3212815780345108,0.09995043953425974,0.4585403538001679,0.0,1.0
death_frozen_record,13,alive,0.92,0.06696029655978832,0.3044032344055376,0.32115981674074856,0.0971447348711256,0.4540775051282718,0.0,1.0
death_frozen_record,14,alive,0.92,0.06694308654240129,0.3044032344055376,0.3210380554469863,0.09443392155773664,0.4497913112588717,0.0,1.0
death_frozen_record,15,alive,0.92,0.06692587652501429,0.3044032344055376,0.3209162941532241,0.09181477253819201,0.44567470599986725,0.0,1.0
death_frozen_record,16,alive,0.92,0.06690866650762728,0.3044032344055376,0.3207945328594619,0.08928417101335147,0.44172090580684314,0.0,1.0
death_frozen_record,17,alive,0.92,0.06689145649024025,0.3044032344055376,0.3206727715656996,0.08683910665544631,0.43792339847716,0.0,1.0
death_frozen_record,18,alive,0.92,0.06687424647285325,0.3044032344055376,0.32055101027193744,0.08447667195330673,0.4342759322962841,0.0,1.0
death_frozen_record,19,alive,0.92,0.06685703645546623,0.3044032344055376,0.32042924897817526,0.08219405868367541,0.43077250561826314,0.0,1.0
death_frozen_record,20,alive,0.92,0.06683982643807923,0.3044032344055376,0.32030748768441303,0.07998855450423473,0.4274073568629831,0.0,1.0
death_frozen_record,21,alive,0.92,0.06682261642069222,0.3044032344055376,0.3201857263906508,0.07785753966412809,0.42417495491353424,0.0,1.0
death_frozen_record,22,alive,0.92,0.06680540640330519,0.3044032344055376,0.3200639650968886,0.07579848382790219,0.4210699898976833,0.0,1.0
death_frozen_record,23,alive,0.92,0.06678819638591818,0.3044032344055376,0.3199422038031264,0.07380894300893927,0.41808736433808635,0.0,1.0
death_frozen_record,24,alive,0.92,0.06677098636853117,0.3044032344055376,0.3198204425093642,0.07188655660858564,0.4152221846564932,0.0,1.0
death_frozen_record,25,alive,0.92,0.06675377635114416,0.3044032344055376,0.31969868121560197,0.07002904455731462,0.41246975301778377,0.0,1.0
death_frozen_record,26,alive,0.92,0.06673656633375714,0.3044032344055376,0.3195769199218397,0.06823420455438925,0.4098255595002428,0.0,1.0
death_frozen_record,27,alive,0.92,0.06671935631637013,0.3044032344055376,0.3194551586280775,0.0664999094026141,0.4072852745790233,0.0,1.0
death_frozen_record,28,alive,0.92,0.06670214629898312,0.3044032344055376,0.3193333973343153,0.06482410443488328,0.4048447419102726,0.0,1.0
death_frozen_record,29,alive,0.92,0.06668493628159611,0.3044032344055376,0.3192116360405531,0.06320480502934704,0.40249997140389193,0.0,1.0
death_frozen_record,30,alive,0.92,0.0666677262642091,0.3044032344055376,0.3190898747467909,0.06164009421012964,0.40024713257338645,0.0,1.0
death_frozen_record,31,alive,0.92,0.06665051624682208,0.3044032344055376,0.3189681134530286,0.06012812033063773,0.3980825481517211,0.0,1.0
death_frozen_record,32,alive,0.92,0.06663330622943507,0.3044032344055376,0.3188463521592664,0.05866709483660208,0.3960026879625424,0.0,1.0
death_frozen_record,33,alive,0.92,0.06661609621204805,0.3044032344055376,0.3187245908655042,0.05725529010609409,0.3940041630365508,0.0,1.0
death_frozen_record,34,alive,0.92,0.06659888619466105,0.3044032344055376,0.318602829571742,0.055891037363855076,0.3920837199632188,0.0,1.0
death_frozen_record,35,alive,0.92,0.06658167617727404,0.3044032344055376,0.3184810682779798,0.05457272466736848,0.3902382354684401,0.0,1.0
death_frozen_record,36,alive,0.92,0.06656446615988701,0.3044032344055376,0.3183593069842176,0.05329879496219478,0.38846471120907256,0.0,1.0
death_frozen_record,37,alive,0.92,0.06654725614250001,0.3044032344055376,0.31823754569045537,0.0520677442041746,0.3867602687756996,0.0,1.0
death_frozen_record,38,alive,0.92,0.066530046125113,0.3044032344055376,0.3181157843966931,0.0508781195461895,0.3851221448952816,0.0,1.0
death_frozen_record,39,alive,0.92,0.06651283610772599,0.3044032344055376,0.3179940231029309,0.04972851758724933,0.38354768682570023,0.0,1.0
death_frozen_record,40,alive,0.92,0.06649562609033896,0.3044032344055376,0.3178722618091687,0.04861758268175309,0.3820343479345221,0.0,1.0
death_frozen_record,41,alive,0.92,0.06647841607295195,0.3044032344055376,0.3177505005154065,0.047544005306844904,0.38057968345461113,0.0,1.0
death_frozen_record,42,alive,0.92,0.06646120605556494,0.3044032344055376,0.31762873922164425,0.04650652048585869,0.37918134640951656,0.0,1.0
death_frozen_record,43,alive,0.92,0.06644399603817792,0.3044032344055376,0.3175069779278821,0.045503906265914974,0.3778370837018457,0.0,1.0
death_frozen_record,44,alive,0.92,0.06642678602079091,0.3044032344055376,0.31738521663411984,0.04453498224780036,0.3765447323581017,0.0,1.0
death_frozen_record,45,alive,0.92,0.0664095760034039,0.3044032344055376,0.31726345534035766,0.04359860816632527,0.37530221592372737,0.0,1.0
death_frozen_record,46,alive,0.92,0.06639236598601689,0.3044032344055376,0.3171416940465954,0.04269368251941769,0.37410754100234805,0.0,1.0
death_frozen_record,47,alive,0.92,0.06637515596862988,0.3044032344055376,0.3170199327528332,0.04181914124427171,0.37295879393344383,0.0,1.0
death_frozen_record,48,alive,0.92,0.06635794595124286,0.3044032344055376,0.31689817145907095,0.040973956438927546,0.3718541376029158,0.0,1.0
death_frozen_record,49,alive,0.92,0.06634073593385584,0.3044032344055376,0.31677641016530883,0.04015713512771601,0.37079180838122877,0.0,1.0
death_frozen_record,50,alive,0.92,0.06632352591646883,0.3044032344055376,0.31665464887154654,0.03936771806905501,0.3697701131840293,0.0,1.0
death_frozen_record,51,alive,0.92,0.06630631589908181,0.3044032344055376,0.3165328875777843,0.038604778604137725,0.3687874266503377,0.0,1.0
death_frozen_record,52,alive,0.92,0.0662891058816948,0.3044032344055376,0.3164111262840221,0.03786742154510315,0.36784218843361377,0.0,1.0
death_frozen_record,53,alive,0.92,0.0662718958643078,0.3044032344055376,0.3162893649902599,0.03715478210132786,0.3669329006011787,0.0,1.0
death_frozen_record,54,alive,0.92,0.06625468584692079,0.3044032344055376,0.31616760369649766,0.036466024842525875,0.3660581251376611,0.0,1.0
death_frozen_record,55,alive,0.92,0.06623747582953377,0.3044032344055376,0.31604584240273553,0.03580034269738815,0.3652164815483042,0.0,1.0
death_frozen_record,56,alive,0.92,0.06622026581214675,0.3044032344055376,0.3159240811089733,0.03515695598653777,0.36440664455814153,0.0,1.0
death_frozen_record,57,alive,0.92,0.06620305579475975,0.3044032344055376,0.31580231981521106,0.034535111488618805,0.36362734190320534,0.0,1.0
death_frozen_record,58,alive,0.92,0.06618584577737273,0.3044032344055376,0.31568055852144883,0.033934081538378215,0.3628773522100865,0.0,1.0
death_frozen_record,59,alive,0.92,0.06616863575998573,0.3044032344055376,0.3155587972276866,0.03335316315563908,0.3621555029603124,0.0,1.0
death_frozen_record,60,alive,0.92,0.06615142574259872,0.3044032344055376,0.3154370359339244,0.032791677204102164,0.36146066853614933,0.0,1.0
death_frozen_record,61,alive,0.92,0.06613421572521169,0.3044032344055376,0.31531527464016224,0.03224896757894909,0.3607917683445726,0.0,1.0
death_frozen_record,62,alive,0.92,0.06611700570782468,0.3044032344055376,0.3151935133464,0.0317244004222562,0.36014776501627904,0.0,1.0
death_frozen_record,63,alive,0.92,0.06609979569043767,0.3044032344055376,0.3150717520526377,0.03121736336526236,0.35952766267673714,0.0,1.0
death_frozen_record,64,alive,0.92,0.06608258567305066,0.3044032344055376,0.3149499907588755,0.03072726479656712,0.3589305052863969,0.0,1.0
death_frozen_record,65,alive,0.92,0.06606537565566364,0.3044032344055376,0.3148282294651133,0.03025353315536736,0.35835537504729026,0.0,1.0
death_frozen_record,66,alive,0.92,0.06604816563827662,0.3044032344055376,0.3147064681713511,0.02979561624887167,0.3578013908733678,0.0,1.0
