scenario,step,K_capacity,kappa,utopic_access,mean_agency,mean_presence,mean_damage_q,mean_coherence,mean_selfhood_S,direct_agency_write
utopic_disconnected,0,0.003684239899435989,0.0,0.0,0.92,0.06718402678581947,0.3044032344055376,0.3227427135596574,0.1423638778028321,0.0
utopic_disconnected,1,0.0037335074164953673,0.0,0.0,0.92,0.06716681676843246,0.3044032344055376,0.32262095226589516,0.13812183398481087,0.0
utopic_disconnected,2,0.0037834312618248273,0.0,0.0,0.92,0.06714960675104546,0.3044032344055376,0.32249919097213287,0.1340235843233079,0.0
utopic_disconnected,3,0.0038340201114974476,0.0,0.0,0.92,0.06713239673365845,0.3044032344055376,0.3223774296783707,0.13006422892740593,0.0
utopic_disconnected,4,0.0038852827544632778,0.0,0.0,0.92,0.06711518671627144,0.3044032344055376,0.3222556683846085,0.12623903566719044,0.0
utopic_disconnected,5,0.0039372280939690045,0.0,0.0,0.92,0.06709797669888443,0.3044032344055376,0.3221339070908463,0.12254343440159698,0.0
utopic_disconnected,6,0.003989865148994104,0.0,0.0,0.92,0.0670807666814974,0.3044032344055376,0.32201214579708404,0.1189730114058752,0.0
utopic_disconnected,7,0.004043203055703721,0.0,0.0,0.92,0.06706355666411039,0.3044032344055376,0.3218903845033218,0.11552350399172957,0.0
utopic_disconnected,8,0.004097251068918378,0.0,0.0,0.92,0.06704634664672339,0.3044032344055376,0.3217686232095597,0.1121907953134404,0.0
utopic_disconnected,9,0.004152018563600643,0.0,0.0,0.92,0.06702913662933638,0.3044032344055376,0.3216468619157974,0.10897090935350219,0.0
utopic_disconnected,10,0.00420751503635901,0.0,0.0,0.92,0.06701192661194935,0.3044032344055376,0.3215251006220352,0.1058600060815423,0.0
utopic_disconnected,11,0.004263750106969024,0.0,0.0,0.92,0.06699471659456235,0.3044032344055376,0.3214033393282729,0.10285437678050027,0.0
utopic_disconnected,12,0.004320733519911917,0.0,0.0,0.92,0.06697750657717533,0.3044032344055376,0.3212815780345108,0.09995043953425974,0.0
utopic_disconnected,13,0.004378475145930852,0.0,0.0,0.92,0.06696029655978832,0.3044032344055376,0.32115981674074856,0.0971447348711256,0.0
utopic_disconnected,14,0.004436984983604936,0.0,0.0,0.92,0.06694308654240129,0.3044032344055376,0.3210380554469863,0.09443392155773664,0.0
utopic_disconnected,15,0.004496273160941178,0.0,0.0,0.92,0.06692587652501429,0.3044032344055376,0.3209162941532241,0.09181477253819201,0.0
utopic_disconnected,16,0.004556349936984563,0.0,0.0,0.92,0.06690866650762728,0.3044032344055376,0.3207945328594619,0.08928417101335147,0.0
utopic_disconnected,17,0.004617225703446331,0.0,0.0,0.92,0.06689145649024025,0.3044032344055376,0.3206727715656996,0.08683910665544631,0.0
utopic_disconnected,18,0.004678910986350701,0.0,0.0,0.92,0.06687424647285325,0.3044032344055376,0.32055101027193744,0.08447667195330673,0.0
utopic_disconnected,19,0.004741416447700177,0.0,0.0,0.92,0.06685703645546623,0.3044032344055376,0.32042924897817526,0.08219405868367541,0.0
utopic_disconnected,20,0.004804752887159518,0.0,0.0,0.92,0.06683982643807923,0.3044032344055376,0.32030748768441303,0.07998855450423473,0.0
utopic_disconnected,21,0.004868931243758641,0.0,0.0,0.92,0.06682261642069222,0.3044032344055376,0.3201857263906508,0.07785753966412809,0.0
utopic_disconnected,22,0.0049339625976145595,0.0,0.0,0.92,0.06680540640330519,0.3044032344055376,0.3200639650968886,0.07579848382790219,0.0
utopic_disconnected,23,0.004999858171672475,0.0,0.0,0.92,0.06678819638591818,0.3044032344055376,0.3199422038031264,0.07380894300893927,0.0
utopic_disconnected,24,0.005066629333466254,0.0,0.0,0.92,0.06677098636853117,0.3044032344055376,0.3198204425093642,0.07188655660858564,0.0
utopic_disconnected,25,0.005134287596898415,0.0,0.0,0.92,0.06675377635114416,0.3044032344055376,0.31969868121560197,0.07002904455731462,0.0
utopic_disconnected,26,0.005202844624039728,0.0,0.0,0.92,0.06673656633375714,0.3044032344055376,0.3195769199218397,0.06823420455438925,0.0
utopic_disconnected,27,0.005272312226948675,0.0,0.0,0.92,0.06671935631637013,0.3044032344055376,0.3194551586280775,0.0664999094026141,0.0
utopic_disconnected,28,0.005342702369510867,0.0,0.0,0.92,0.06670214629898312,0.3044032344055376,0.3193333973343153,0.06482410443488328,0.0
utopic_disconnected,29,0.0054140271692985475,0.0,0.0,0.92,0.06668493628159611,0.3044032344055376,0.3192116360405531,0.06320480502934704,0.0
utopic_disconnected,30,0.0054862988994504045,0.0,0.0,0.92,0.0666677262642091,0.3044032344055376,0.3190898747467909,0.06164009421012964,0.0
utopic_disconnected,31,0.005559529990571799,0.0,0.0,0.92,0.06665051624682208,0.3044032344055376,0.3189681134530286,0.06012812033063773,0.0
utopic_disconnected,32,0.005633733032655527,0.0,0.0,0.92,0.06663330622943507,0.3044032344055376,0.3188463521592664,0.05866709483660208,0.0
utopic_disconnected,33,0.0057089207770233425,0.0,0.0,0.92,0.06661609621204805,0.3044032344055376,0.3187245908655042,0.05725529010609409,0.0
utopic_disconnected,34,0.005785106138288346,0.0,0.0,0.92,0.06659888619466105,0.3044032344055376,0.318602829571742,0.055891037363855076,0.0
utopic_disconnected,35,0.005862302196338331,0.0,0.0,0.92,0.06658167617727404,0.3044032344055376,0.3184810682779798,0.05457272466736848,0.0
utopic_disconnected,36,0.0059405221983403695,0.0,0.0,0.92,0.06656446615988701,0.3044032344055376,0.3183593069842176,0.05329879496219478,0.0
utopic_disconnected,37,0.006019779560766618,0.0,0.0,0.92,0.06654725614250001,0.3044032344055376,0.31823754569045537,0.0520677442041746,0.0
utopic_disconnected,38,0.006100087871441613,0.0,0.0,0.92,0.066530046125113,0.3044032344055376,0.3181157843966931,0.0508781195461895,0.0
utopic_disconnected,39,0.006181460891611144,0.0,0.0,0.92,0.06651283610772599,0.3044032344055376,0.3179940231029309,0.04972851758724933,0.0
utopic_disconnected,40,0.006263912558032809,0.0,0.0,0.92,0.06649562609033896,0.3044032344055376,0.3178722618091687,0.04861758268175309,0.0
utopic_disconnected,41,0.00634745698508846,0.0,0.0,0.92,0.06647841607295195,0.3044032344055376,0.3177505005154065,0.047544005306844904,0.0
utopic_disconnected,42,0.006432108466918635,0.0,0.0,0.92,0.06646120605556494,0.3044032344055376,0.31762873922164425,0.04650652048585869,0.0
utopic_disconnected,43,0.006517881479579073,0.0,0.0,0.92,0.06644399603817792,0.3044032344055376,0.3175069779278821,0.045503906265914974,0.0
utopic_disconnected,44,0.006604790683219509,0.0,0.0,0.92,0.06642678602079091,0.3044032344055376,0.31738521663411984,0.04453498224780036,0.0
utopic_disconnected,45,0.0066928509242848554,0.0,0.0,0.92,0.0664095760034039,0.3044032344055376,0.31726345534035766,0.04359860816632527,0.0
utopic_disconnected,46,0.006782077237738833,0.0,0.0,0.92,0.06639236598601689,0.3044032344055376,0.3171416940465954,0.04269368251941769,0.0
utopic_disconnected,47,0.006872484849310258,0.0,0.0,0.92,0.06637515596862988,0.3044032344055376,0.3170199327528332,0.04181914124427171,0.0
utopic_disconnected,48,0.006964089177762089,0.0,0.0,0.92,0.06635794595124286,0.3044032344055376,0.31689817145907095,0.040973956438927546,0.0
utopic_disconnected,49,0.007056905837183257,0.0,0.0,0.92,0.06634073593385584,0.3044032344055376,0.31677641016530883,0.04015713512771601,0.0
utopic_disconnected,50,0.007150950639303527,0.0,0.0,0.92,0.06632352591646883,0.3044032344055376,0.31665464887154654,0.03936771806905501,0.0
utopic_disconnected,51,0.007246239595831429,0.0,0.0,0.92,0.06630631589908181,0.3044032344055376,0.3165328875777843,0.038604778604137725,0.0
utopic_disconnected,52,0.00734278892081532,0.0,0.0,0.92,0.0662891058816948,0.3044032344055376,0.3164111262840221,0.03786742154510315,0.0
utopic_disconnected,53,0.007440615033027779,0.0,0.0,0.92,0.0662718958643078,0.3044032344055376,0.3162893649902599,0.03715478210132786,0.0
utopic_disconnected,54,0.007539734558373393,0.0,0.0,0.92,0.06625468584692079,0.3044032344055376,0.31616760369649766,0.036466024842525875,0.0
utopic_disconnected,55,0.00764016433231995,0.0,0.0,0.92,0.06623747582953377,0.3044032344055376,0.31604584240273553,0.03580034269738815,0.0
utopic_disconnected,56,0.00774192140235326,0.0,0.0,0.92,0.06622026581214675,0.3044032344055376,0.3159240811089733,0.03515695598653777,0.0
utopic_disconnected,57,0.007845023030455634,0.0,0.0,0.92,0.06620305579475975,0.3044032344055376,0.31580231981521106,0.034535111488618805,0.0
utopic_disconnected,58,0.00794948669560802,0.0,0.0,0.92,0.06618584577737273,0.3044032344055376,0.31568055852144883,0.033934081538378215,0.0
utopic_disconnected,59,0.008055330096316057,0.0,0.0,0.92,0.06616863575998573,0.3044032344055376,0.3155587972276866,0.03335316315563908,0.0
utopic_disconnected,60,0.008162571153159897,0.0,0.0,0.92,0.06615142574259872,0.3044032344055376,0.3154370359339244,0.032791677204102164,0.0
utopic_disconnected,61,0.008271228011368058,0.0,0.0,0.92,0.06613421572521169,0.3044032344055376,0.31531527464016224,0.03224896757894909,0.0
utopic_disconnected,62,0.008381319043415273,0.0,0.0,0.92,0.06611700570782468,0.3044032344055376,0.3151935133464,0.0317244004222562,0.0
utopic_disconnected,63,0.008492862851644353,0.0,0.0,0.92,0.06609979569043767,0.3044032344055376,0.3150717520526377,0.03121736336526236,0.0
utopic_disconnected,64,0.008605878270912208,0.0,0.0,0.92,0.06608258567305066,0.3044032344055376,0.3149499907588755,0.03072726479656712,0.0
utopic_disconnected,65,0.008720384371260052,0.0,0.0,0.92,0.06606537565566364,0.3044032344055376,0.3148282294651133,0.03025353315536736,0.0
utopic_disconnected,66,0.008836400460607722,0.0,0.0,0.92,0.06604816563827662,0.3044032344055376,0.3147064681713511,0.02979561624887167,0.0
utopic_disconnected,67,0.008953946087472294,0.0,0.0,0.92,0.06603095562088962,0.3044032344055376,0.31458470687758894,0.029352980593061274,0.0
utopic_disconnected,68,0.00907304104371096,0.0,0.0,0.92,0.06601374560350261,0.3044032344055376,0.31446294558382665,0.028925110775994984,0.0
utopic_disconnected,69,0.009193705367288094,0.0,0.0,0.92,0.0659965355861156,0.3044032344055376,0.31434118429006447,0.02851150884288363,0.0
utopic_disconnected,70,0.009315959345066686,0.0,0.0,0.92,0.06597932556872858,0.3044032344055376,0.3142194229963022,0.02811169370218582,0.0
utopic_disconnected,71,0.009439823515624031,0.0,0.0,0.92,0.06596211555134156,0.3044032344055376,0.31409766170254,0.0277252005520031,0.0
utopic_disconnected,72,0.009565318672091675,0.0,0.0,0.92,0.06594490553395455,0.3044032344055376,0.3139759004087778,0.027351580326077166,0.0
utopic_disconnected,73,0.009692465865019645,0.0,0.0,0.92,0.06592769551656753,0.3044032344055376,0.31385413911501564,0.026990399158716018,0.0
utopic_disconnected,74,0.009821286405264971,0.0,0.0,0.92,0.06591048549918052,0.3044032344055376,0.31373237782125335,0.02664123786799932,0.0
utopic_disconnected,75,0.009951801866904324,0.0,0.0,0.92,0.06589327548179351,0.3044032344055376,0.31361061652749117,0.02630369145663525,0.0
utopic_disconnected,76,0.010084034090170932,0.0,0.0,0.92,0.0658760654644065,0.3044032344055376,0.313488855233729,0.025977368629863162,0.0
utopic_disconnected,77,0.010218005184415598,0.0,0.0,0.92,0.06585885544701948,0.3044032344055376,0.3133670939399667,0.02566189132981711,0.0
