scenario,step,record_similarity,identity_path,record_quality,agency,presence,coherence,reciprocity,pointer_stability,debt,drag,free_resource,load,host_fitness,observer_S,boundary_effect,boundary_opportunity,coercion_penalty,B_addr,B_cap,B_act,B_align,B_path,B_scalar,active_spirit_channel
record_only_death,36,0.92,0.9,0.9,0.94,0.005,0.62,0.58,0.78,0.52,0.04,0.01,0.85,0.02,0.03,0.0,1.0,0.0,0.7452000000000001,2.847766322180271e-06,0.0,0.5,0.0,0.0,False
record_only_death,37,0.92,0.9,0.9,0.94,0.005,0.62,0.58,0.78,0.52,0.04,0.01,0.85,0.02,0.03,0.0,1.0,0.0,0.7452000000000001,2.847766322180271e-06,0.0,0.5,0.0,0.0,False
record_only_death,38,0.92,0.9,0.9,0.94,0.005,0.62,0.58,0.78,0.52,0.04,0.01,0.85,0.02,0.03,0.0,1.0,0.0,0.7452000000000001,2.847766322180271e-06,0.0,0.5,0.0,0.0,False
record_only_death,39,0.92,0.9,0.9,0.94,0.005,0.62,0.58,0.78,0.52,0.04,0.01,0.85,0.02,0.03,0.0,1.0,0.0,0.7452000000000001,2.847766322180271e-06,0.0,0.5,0.0,0.0,False
record_only_death,40,0.92,0.9,0.9,0.94,0.005,0.62,0.58,0.78,0.52,0.04,0.01,0.85,0.02,0.03,0.0,1.0,0.0,0.7452000000000001,2.847766322180271e-06,0.0,0.5,0.0,0.0,False
record_only_death,41,0.92,0.9,0.9,0.94,0.005,0.62,0.58,0.78,0.52,0.04,0.01,0.85,0.02,0.03,0.0,1.0,0.0,0.7452000000000001,2.847766322180271e-06,0.0,0.5,0.0,0.0,False
record_only_death,42,0.92,0.9,0.9,0.94,0.005,0.62,0.58,0.78,0.52,0.04,0.01,0.85,0.02,0.03,0.0,1.0,0.0,0.7452000000000001,2.847766322180271e-06,0.0,0.5,0.0,0.0,False
record_only_death,43,0.92,0.9,0.9,0.94,0.005,0.62,0.58,0.78,0.52,0.04,0.01,0.85,0.02,0.03,0.0,1.0,0.0,0.7452000000000001,2.847766322180271e-06,0.0,0.5,0.0,0.0,False
record_only_death,44,0.92,0.9,0.9,0.94,0.005,0.62,0.58,0.78,0.52,0.04,0.01,0.85,0.02,0.03,0.0,1.0,0.0,0.7452000000000001,2.847766322180271e-06,0.0,0.5,0.0,0.0,False
record_only_death,45,0.92,0.9,0.9,0.94,0.005,0.62,0.58,0.78,0.52,0.04,0.01,0.85,0.02,0.03,0.0,1.0,0.0,0.7452000000000001,2.847766322180271e-06,0.0,0.5,0.0,0.0,False
record_only_death,46,0.92,0.9,0.9,0.94,0.005,0.62,0.58,0.78,0.52,0.04,0.01,0.85,0.02,0.03,0.0,1.0,0.0,0.7452000000000001,2.847766322180271e-06,0.0,0.5,0.0,0.0,False
record_only_death,47,0.92,0.9,0.9,0.94,0.005,0.62,0.58,0.78,0.52,0.04,0.01,0.85,0.02,0.03,0.0,1.0,0.0,0.7452000000000001,2.847766322180271e-06,0.0,0.5,0.0,0.0,False
record_only_death,48,0.92,0.9,0.9,0.94,0.005,0.62,0.58,0.78,0.52,0.04,0.01,0.85,0.02,0.03,0.0,1.0,0.0,0.7452000000000001,2.847766322180271e-06,0.0,0.5,0.0,0.0,False
record_only_death,49,0.92,0.9,0.9,0.94,0.005,0.62,0.58,0.78,0.52,0.04,0.01,0.85,0.02,0.03,0.0,1.0,0.0,0.7452000000000001,2.847766322180271e-06,0.0,0.5,0.0,0.0,False
record_only_death,50,0.92,0.9,0.9,0.94,0.005,0.62,0.58,0.78,0.52,0.04,0.01,0.85,0.02,0.03,0.0,1.0,0.0,0.7452000000000001,2.847766322180271e-06,0.0,0.5,0.0,0.0,False
record_only_death,51,0.92,0.9,0.9,0.94,0.005,0.62,0.58,0.78,0.52,0.04,0.01,0.85,0.02,0.03,0.0,1.0,0.0,0.7452000000000001,2.847766322180271e-06,0.0,0.5,0.0,0.0,False
record_only_death,52,0.92,0.9,0.9,0.94,0.005,0.62,0.58,0.78,0.52,0.04,0.01,0.85,0.02,0.03,0.0,1.0,0.0,0.7452000000000001,2.847766322180271e-06,0.0,0.5,0.0,0.0,False
record_only_death,53,0.92,0.9,0.9,0.94,0.005,0.62,0.58,0.78,0.52,0.04,0.01,0.85,0.02,0.03,0.0,1.0,0.0,0.7452000000000001,2.847766322180271e-06,0.0,0.5,0.0,0.0,False
record_only_death,54,0.92,0.9,0.9,0.94,0.005,0.62,0.58,0.78,0.52,0.04,0.01,0.85,0.02,0.03,0.0,1.0,0.0,0.7452000000000001,2.847766322180271e-06,0.0,0.5,0.0,0.0,False
record_only_death,55,0.92,0.9,0.9,0.94,0.005,0.62,0.58,0.78,0.52,0.04,0.01,0.85,0.02,0.03,0.0,1.0,0.0,0.7452000000000001,2.847766322180271e-06,0.0,0.5,0.0,0.0,False
record_only_death,56,0.92,0.9,0.9,0.94,0.005,0.62,0.58,0.78,0.52,0.04,0.01,0.85,0.02,0.03,0.0,1.0,0.0,0.7452000000000001,2.847766322180271e-06,0.0,0.5,0.0,0.0,False
record_only_death,57,0.92,0.9,0.9,0.94,0.005,0.62,0.58,0.78,0.52,0.04,0.01,0.85,0.02,0.03,0.0,1.0,0.0,0.7452000000000001,2.847766322180271e-06,0.0,0.5,0.0,0.0,False
record_only_death,58,0.92,0.9,0.9,0.94,0.005,0.62,0.58,0.78,0.52,0.04,0.01,0.85,0.02,0.03,0.0,1.0,0.0,0.7452000000000001,2.847766322180271e-06,0.0,0.5,0.0,0.0,False
record_only_death,59,0.92,0.9,0.9,0.94,0.005,0.62,0.58,0.78,0.52,0.04,0.01,0.85,0.02,0.03,0.0,1.0,0.0,0.7452000000000001,2.847766322180271e-06,0.0,0.5,0.0,0.0,False
record_only_death,60,0.92,0.9,0.9,0.94,0.005,0.62,0.58,0.78,0.52,0.04,0.01,0.85,0.02,0.03,0.0,1.0,0.0,0.7452000000000001,2.847766322180271e-06,0.0,0.5,0.0,0.0,False
record_only_death,61,0.92,0.9,0.9,0.94,0.005,0.62,0.58,0.78,0.52,0.04,0.01,0.85,0.02,0.03,0.0,1.0,0.0,0.7452000000000001,2.847766322180271e-06,0.0,0.5,0.0,0.0,False
record_only_death,62,0.92,0.9,0.9,0.94,0.005,0.62,0.58,0.78,0.52,0.04,0.01,0.85,0.02,0.03,0.0,1.0,0.0,0.7452000000000001,2.847766322180271e-06,0.0,0.5,0.0,0.0,False
