scenario,r2_baseline,r2_with_B,delta_r2_B
boundary_recovery,0.9940646502277759,0.9986454000710271,0.004580749843251186
coercive_order_control,0.9912154814745043,0.9925870049246731,0.0013715234501687767
copy_control,0.9805828137196868,0.9955256034722155,0.014942789752528718
deeper_boundary_lead,0.8621560659573257,0.9707491754771234,0.10859310951979761
ordinary_observer_no_boundary,0.9933055956564413,0.9936756039892467,0.0003700083328054271
record_only_death,1.0,1.0,0.0
resurrection_path,0.9963082924461234,0.9980281296082262,0.0017198371621027775
